rang,requete,groupe,score,demande_30j,nb_outils,nb_actifs,part_leader,part_payante,faiblesse_leader,croissance,leader,leader_url,raisons
25,welcome to the jungle,France,10.15,306,37,5,0.448,1.0,0.0,,Welcome to the Jungle Scraper - WTTJ Jobs Fast Export,https://apify.com/clearpath/welcome-to-the-jungle-jobs-api,
26,data.gouv,France,10.02,100,31,3,0.25,1.0,0.0,,Leboncoin Real Estate Scraper,https://apify.com/leadsbrary/leboncoin-real-estate-scraper,
27,french,France,9.77,89,39,3,0.135,1.0,0.0,,Pappers / Sirene Scraper: 26M French Companies SIREN/SIRET,https://apify.com/dltik/pappers-sirene-scraper,
28,pappers,France,9.69,170,40,4,0.182,0.941,0.0,,Shopify Store Leads Scraper,https://apify.com/parsebird/shopify-store-leads-scraper,
29,pagesjaunes,France,9.65,168,36,8,0.179,1.0,0.3,,Pagesjaunes Scraper,https://apify.com/saswave/pagesjaunes-scraper,67% d'exécutions réussies
30,bienici,France,9.49,148,37,4,0.203,0.953,0.0,,"Pige Immo FR: 20 Portals, Address + Price Tracking",https://apify.com/dltik/pige-immo-fr-scraper,
31,bodacc,France,9.3,119,35,4,0.227,1.0,0.0,,France Travail Scraper: 700K+ FR Jobs (Pôle Emploi),https://apify.com/dltik/francetravail-scraper,
32,annuaire,France,9.16,174,38,5,0.333,1.0,0.0,,"Canada411 Scraper: Business Phones, Addresses",https://apify.com/fayoussef/canada411-ca,
33,gumroad,Outils pour vendeurs,8.82,57,26,3,0.281,1.0,0.0,,Gumroad Scraper,https://apify.com/muhammetakkurtt/gumroad-scraper,
34,vinted,Outils pour vendeurs,8.78,303,30,7,0.254,1.0,0.0,,Vinted Scraper,https://apify.com/epicscrapers/vinted-search-scraper,
35,email finder,Marchés B2B,8.78,4062,36,32,0.189,0.996,0.4,,🍏 Leads Finder - Email 📧 + Mobile Number 📞​,https://apify.com/microworlds/leads-finder,note 3.7/5 (113 avis)
36,print on demand,Outils pour vendeurs,8.73,304,38,6,0.234,0.859,0.0,,"💰 Etsy Scraper — Product Research, Tags, Prices & Sales",https://apify.com/yumitori/etsy-search-scraper,
37,france,France,8.68,202,35,6,0.223,0.99,0.0,,SeLoger Scraper 💰 $0.9/1K France Real Estate Extractor,https://apify.com/azzouzana/seloger-mass-products-scraper-by-search-url,
38,ai agent,Marchés B2B,8.44,264,32,7,0.174,0.97,0.0,,Google Events | Scrape Google Events for AI Agents,https://apify.com/johnvc/google-events-api---access-google-events-data,
39,mcp,Marchés B2B,8.42,482,35,16,0.149,0.99,0.3,,Google Keyword Planner MCP,https://apify.com/smacient/google-keyword-planner-mcp,84% d'exécutions réussies
40,indeed france,France,8.18,914,33,12,0.437,0.991,0.0,,"Multi Job Board Scraper — LinkedIn, Indeed, Glassdoor & More",https://apify.com/openclawai/job-board-scraper,
41,pap.fr,France,7.9,191,36,7,0.236,0.958,0.0,,"Google Scholar | Research Papers, Citations & Author Profiles",https://apify.com/johnvc/google-scholar-api,
42,linkedin,Marchés B2B,7.87,95272,39,39,0.19,1.0,0.0,,Linkedin Jobs Scraper,https://apify.com/curious_coder/linkedin-jobs-scraper,
43,digital products,Outils pour vendeurs,7.79,171,32,7,0.228,0.971,0.0,,HelloWork Jobs Scraper,https://apify.com/shahidirfan/HelloWork-Jobs-Scraper,
44,etsy seo,Outils pour vendeurs,7.69,377,35,9,0.188,0.886,0.0,,"💰 Etsy Scraper — Product Research, Tags, Prices & Sales",https://apify.com/yumitori/etsy-search-scraper,
45,real estate,Marchés B2B,7.64,1366,37,32,0.206,1.0,0.4,,"Idealista Scraper - Real Estate Data for Spain, Italy, Portugal",https://apify.com/igolaizola/idealista-scraper,note 3.8/5 (22 avis)
46,job listings,Marchés B2B,7.56,2918,38,20,0.498,0.999,0.0,,Career Site Job Listing API,https://apify.com/fantastic-jobs/career-site-job-listing-api,
47,google maps,Marchés B2B,7.52,56806,40,39,0.644,1.0,0.0,,Google Maps Scraper,https://apify.com/compass/crawler-google-places,
48,pinterest,Outils pour vendeurs,7.36,1615,38,18,0.232,1.0,0.0,,Pinterest Scraper | All-In-One,https://apify.com/fatihtahta/pinterest-scraper-search,
49,reviews,Marchés B2B,7.31,36695,39,38,0.184,1.0,0.0,,Google Maps Reviews Scraper,https://apify.com/compass/Google-Maps-Reviews-Scraper,
50,tiktok,Marchés B2B,7.3,47185,40,40,0.481,1.0,0.0,,TikTok Scraper,https://apify.com/clockworks/tiktok-scraper,
51,france travail,France,7.22,136,37,5,0.199,0.654,0.0,,France Travail Scraper: 700K+ FR Jobs (Pôle Emploi),https://apify.com/dltik/francetravail-scraper,
52,dvf,France,7.14,107,33,4,0.28,0.57,0.0,,"Pige Immo FR: 20 Portals, Address + Price Tracking",https://apify.com/dltik/pige-immo-fr-scraper,
53,amazon,Marchés B2B,7.1,6654,30,28,0.3,1.0,0.0,,Amazon Product Scraper,https://apify.com/junglee/Amazon-crawler,
54,legifrance,France,6.99,4,6,0,0.25,1.0,0.0,,JORF Scraper: French Official Journal API (Legifrance + DILA),https://apify.com/dltik/jorf-bulletin-officiel-scraper,
55,shopify,Marchés B2B,6.77,894,32,18,0.219,1.0,0.0,,"Shopify Store Leads Scraper - Emails, Phones & Ratings",https://apify.com/clearpath/shopify-store-leads,
56,price monitoring,Marchés B2B,6.55,2175,37,25,0.167,1.0,0.0,,Google Flights API,https://apify.com/johnvc/Google-Flights-Data-Scraper-Flight-and-Price-Search,
57,etsy,Outils pour vendeurs,5.99,1193,36,25,0.242,0.987,0.0,,🔥 Etsy Listings Scraper – Live Carts & Ads,https://apify.com/yumitori/etsy-listings-scraper,
